name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"AlFarouq Aminu","Portland Trail Blazers",2016-02-04,2015,4248,1610612757,400828635,1,7,46,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"LaMarcus Aldridge","San Antonio Spurs",2016-02-03,2015,2983,1610612759,400828629,2,2,11,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,,0.00,0.00
"Tyson Chandler","Phoenix Suns",2016-02-10,2015,984,1610612756,400828686,1,7,09,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2016-02-03,2015,6450,1610612759,400828629,1,8,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,,0.00,0.00
"Tyson Chandler","Phoenix Suns",2016-02-08,2015,984,1610612756,400828670,2,2,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Miles Plumlee","Milwaukee Bucks",2016-02-02,2015,6616,1610612749,400828620,1,1,48,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.00,,0.00,0.00
"Tyson Chandler","Phoenix Suns",2016-02-19,2015,984,1610612756,400828701,1,10,19,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,,0.00,0.00
"Andre Drummond","Detroit Pistons",2016-02-03,2015,6585,1610612765,400828624,1,9,38,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,1,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2016-02-04,2015,6583,1610612740,400828634,3,2,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Jeremy Lamb","Charlotte Hornets",2016-02-03,2015,6603,1610612766,400828622,1,0,00,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,0,0.00,,0.00,0.00
"Andre Drummond","Detroit Pistons",2016-02-04,2015,6585,1610612765,400828633,1,3,47,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
"Thomas Robinson","Brooklyn Nets",2016-02-19,2015,6618,1610612751,400828694,2,9,14,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
"Kenneth Faried","Denver Nuggets",2016-02-08,2015,6433,1610612743,400828665,2,4,01,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,0,0.00,,0.00,0.00
"Hassan Whiteside","Miami Heat",2016-02-20,2015,4262,1610612748,400828707,4,7,14,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,0,0.00,,0.00,0.00
"Willie CauleyStein","Sacramento Kings",2016-02-19,2015,2991282,1610612758,400828703,3,1,08,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Rudy Gay","Sacramento Kings",2016-02-24,2015,3005,1610612758,400828741,1,10,58,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"Willie CauleyStein","Sacramento Kings",2016-02-19,2015,2991282,1610612758,400828703,1,2,26,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Hassan Whiteside","Miami Heat",2016-02-20,2015,4262,1610612748,400828707,2,0,35,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,0,0.00,,0.00,0.00
"Willie CauleyStein","Sacramento Kings",2016-02-10,2015,2991282,1610612758,400828678,1,11,19,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"Mason Plumlee","Portland Trail Blazers",2016-02-21,2015,2488653,1610612757,400828719,3,4,05,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,0,0.00,,0.00,0.00
"Kenneth Faried","Denver Nuggets",2016-02-08,2015,6433,1610612743,400828665,2,5,31,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Brooklyn Nets",-13,9,0,0.00,,0.00,0.00
"John Wall","Washington Wizards",2016-02-26,2015,4237,1610612764,400828749,2,1,08,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-08,2015,3442,1610612746,400828664,5,4,49,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"Tristan Thompson","Cleveland Cavaliers",2016-02-21,2015,6474,1610612739,400828711,2,1,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Al Horford","Atlanta Hawks",2016-02-08,2015,3213,1610612737,400828667,4,11,23,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,,0.00,0.00
"Nerlens Noel","Philadelphia 76ers",2016-02-21,2015,2991280,1610612755,400828717,4,9,58,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",0,1,0,0.00,,0.00,0.00
"Myles Turner","Indiana Pacers",2016-02-08,2015,3133628,1610612754,400828663,1,11,18,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
