name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Al Horford","Atlanta Hawks",2016-04-01,2015,3213,1610612737,400829018,1,9,18,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,0,0.00,,0.00,0.00
"Zach LaVine","Minnesota Timberwolves",2016-04-13,2015,3064440,1610612750,400829113,2,8,07,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,,0.00,0.00
"Miles Plumlee","Milwaukee Bucks",2016-04-01,2015,6616,1610612749,400829020,4,8,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,,0.00,0.00
"Dwight Howard","Houston Rockets",2016-04-13,2015,2384,1610612745,400829111,3,6,45,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"Tristan Thompson","Cleveland Cavaliers",2016-04-01,2015,6474,1610612739,400829018,4,0,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,1,0,0.00,,0.00,0.00
"Nerlens Noel","Philadelphia 76ers",2016-04-12,2015,2991280,1610612755,400829101,2,2,10,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"JaKarr Sampson","Denver Nuggets",2016-04-02,2015,2608891,1610612743,400829028,3,3,33,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"Jonas Valanciunas","Toronto Raptors",2016-04-12,2015,6477,1610612761,400829101,1,9,24,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"Mason Plumlee","Portland Trail Blazers",2016-04-02,2015,2488653,1610612757,400829029,1,7,38,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Miami Heat",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-04-12,2015,3442,1610612746,400829103,1,2,35,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",0,1,0,0.00,,0.00,0.00
"Maurice Harkless","Portland Trail Blazers",2016-04-02,2015,6591,1610612757,400829029,3,6,22,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Miami Heat",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Cleveland Cavaliers",2016-04-13,2015,4298,1610612739,400829107,5,4,26,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,1,0,0.00,,0.00,0.00
"Markel Brown","Brooklyn Nets",2016-04-01,2015,2530750,1610612751,400829017,2,9,01,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
"Willie CauleyStein","Sacramento Kings",2016-04-11,2015,2991282,1610612758,400829098,1,8,00,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"Brook Lopez","Brooklyn Nets",2016-04-01,2015,3448,1610612751,400829017,1,2,13,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
